Famille d'origine;Planet;People;Prosperity;RECOMMANDATION;CRITERES;JUSTIFICATIONS;Etape Cycle de Vie;incontournables;Indicateurs;X;Y;Priorite;Recurrence;Use Case
UX/UI;C;B;B;Permettre aux personnes en situation de handicap ou souffrant de deficiences, d'acceder et d'utiliser efficacement le service numerique;Tout type d'utilisateur peut-il savoir facilement oe il se trouve dans le service, par la mise en place d'un systeme de navigation inclusif ?;Plus le service est facile d'utilisation et bien construit, moins l'utilisateur passera de temps e trouver l'information qu'il cherche, ce qui reduira les navigations parasites et diminuera la consommation de ressources et d'energie;Utilisation;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;Low;OnUpdate;Navigateur / Touches Clavier : TAB / SPACE / ENTER
UX/UI;A;B;B;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Une sobriete visuelle est-elle mise en place, pour limiter les ressources energetiques et l'impact sur la degradation materielle des composants visuels, sonores et tactiles constitutifs de l'interface ?;Des elements/composants visuels, sonores et tactiles peuvent etre mis en avant dans une demarche purement esthetique et/ou marketing mais n'ont que tres peu d'interet pour l'utilisateur. La simplification de ces elements apportera une meilleure ergonomie et un usage adapte e chacun ainsi qu'une reduction de l'impact energetique.;Realisation;INCONTOURNABLE;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;OnUpdate;Un module dark mode est systematiquement propose
UX/UI;A;A;B;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Est-ce que les fonctionnalites sont utilisees par l'utilisateur ?;Selon des etudes (cast software et standish group), 70% des fonctionnalites ne sont jamais ou rarement utilisees. (ref 115 bonnes pratiques);Utilisation;INCONTOURNABLE;(X / Y ) * 100;Validations d'utilisation;Fonctionnalites;High;Periodic;Les parcours utilisateurs sont simules et valides pour identifier les utilisations de fonctionnalites. Des donnees sont identifiees et collectees (analytics / sondes) en production.e
UX/UI;C;B;B;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Les prises de decision sont-elles justifiees et soutenues par des indicateurs fiables sur les usages des fonctionnalites tout au long du cycle de vie du service ?;La supervision des usages permet de valider les estimations faites en debut de conception et d'identifier les pistes d'amelioration. Mais ce principe se base sur des sources de donnees fiables.;Administration;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;Periodic;Analyse d'impact
UX/UI;B;B;B;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Une politique / demarche / une routinede reduction et de priorisation progressive des fonctionnalites, interactions et elements graphiques, est-elle mise en place ?;Les suppressions d'elements sur les interfaces peuvent ne pas perturber les utilisateurs, et donc generer une empreinte reduite avec moins d'elements et de fonctionnalites sans que cela ne deteriore la valeur du service tout en limitant son impact environnemental;Maintenance;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;Periodic;Backlog
UX/UI;C;C;B;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Les parties prenantes du service SEO sont-elles integrees, des la phase de conception ?;Les algorithmes d'optimisation ont tendance e accumuler des donnees, dans la majorite des cas les donnees collectees ne sont pas analysees et ne servent donc pas e rationaliser les usages. Les optimisations doivent s'inscrire dans une demarche iterative et chaque retour doit permettre un gain d'efficacite mesure avant de passer e l'etape suivante.e;Administration;;;;;;;
UX/UI;A;B;B;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";La pratique de l'e-mailing est-elle reflechie, justifiee et reduite e son stricte necessaire ?;Les diffusions de mails notamment lorsque les mails contiennent des contenus riches generent une charge environnementale importante. Dans le cas de diffusion en masse, ces impacts sont demultiplies. Le cas des newsletters est particulierement sujet e cette explosion de trafic. Les contenus, volumes et cibles de diffusions doivent etre reduits pour compenser par l'efficacite et la pertinence ce qui etait pris en charge par la diffusion massive.;Utilisation;;;;;;;
UX/UI;A;C;B;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Un planning d'archivage et une version allegee des contenus anciens consultables sont-ils mis en oeuvre ?;Il est souvent produit une quantite non negligeable de fichiers, souvent versionnes, afin de repondre aux exigences client.;Fin de Vie;;(X / Y ) * 100;Volume supprime;Volume des contenus inactifs;Medium;Periodic;La gestion de configuration prend en compte les contenus avec leurs mecanismes d'optimisations en fonction de l'anciennete
UX/UI;B;B;C;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Est-ce que les analytics ont ete limites au strict necessaire pour optimiser le service ?;"Les collectes de donnees d'analytics sont installees dans les codes sources et doivent etre positionnees uniquement aux points de passage oe elles apportent une possibilite d'amelioration de performance car leurs actions ne sont pas neutres; elles collectent, transmettent, stockent des donnees et alourdissent les services en rajoutant des codes executables qui demandent des ressources de traitements sur le peripherique utilisateur, sur les reseaux et sur les serveurs distants. De plus, les donnees collectees peuvent etre transmises et utilisees par des tiers pour des usages dont l'utilisateur n'est pas toujours conscient.";Utilisation;;;;;;;
UX/UI;B;B;C;"""Less is More"" : Concentrez vous sur les fonctionnalites essentielles et simplifiez votre interface";Est-ce que les services tiers (fils reseaux sociaux, social wall, carrousels, google maps etc) ne sont pas utilises par facilite pour pallier le manque de ressources de production de contenus ?;Il est courant d'utiliser des services tiers rattaches e l'utilisation des reseaux sociaux, geolocalisation, etc.;Conception;;;;;;;
UX/UI;A;B;B;Permettre aux utilisateurs de reduire leurs impacts;L'utilisation du service permet-elle d'envisager des configurations logicielles ou materielles moins impactantes pour l'environnement ?;Les equipements utilisateurs sont de plus en plus performants et les services numeriques exploitent ces capacites techniques.;Utilisation;;;;;;;
UX/UI;A;B;A;Permettre aux utilisateurs de reduire leurs impacts;L'experience utilisateur prend-elle en compte les evolutions possible du service (ajout/suppression de fonctionnalites) ?e;Un service numerique possede une duree de vie qu'il est important de prolonger au maximum.;Utilisation;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;Medium;OnUpdate;Le processus d'amelioration continue se base sur le Backlog, les ameliorations avec une orientation NR sont identifes par des Tags / Labels NR
UX/UI;A;A;B;Permettre aux utilisateurs de reduire leurs impacts;Tous les elements constitutifs de l'interface font-ils l'objet d'une attention particuliere en matiere d'impact NR, tout en respectant les regles d'accessibilite ?;Plus le theme visuel est simple, plus il sera econome en ressources consommees pour l'afficher.;Acquisition;;;;;;;CHROME : Extension lighthouse / Accessibilite
UX/UI;A;B;B;Permettre aux utilisateurs de reduire leurs impacts;"Des solutions sans interface ""graphique"" sont-elles prevues pour certaines fonctionnalites, afin de proposer des alternatives au design visuel dans l'interface ?e";Une interface ne se resume pas seulement aux elements visuels qui la constituent, il peut etre interessant de challenger les autres approches de l'experience utilisateur afin de reduire l'impact du service.e;Conception;;;;;;;
UX/UI;A;B;B;Permettre aux utilisateurs de reduire leurs impacts;Un espace de parametrage oriente NR est-il e disposition de l'utilisateur, pour limiter au maximum le nombre d'elements de presentation ?e;Chaque action compte et l'utilisateur a pleinement son rele e jouer dans la reduction de son incidence environnementale.;Utilisation;;;;;;;
UX/UI;A;B;B;Permettre aux utilisateurs de reduire leurs impacts;La dematerialisation du service est-elle complete, et dans le cas oe la production de documents papier est indispensable, est-elle coneue pour limiter son impact au minimum ?;Les flux de dematerialisation sont parfois rompus, et imposent la production d'ecrits sur papier. L'utilisateur, dans certains cas, peut aussi etre plus confortable e utiliser des documents imprimes plutet que 100% electroniques. Les impressions ont un impact environnemental important, que ce soit dans la consommation de papier, de consommables tels que les cartouches et encres d'impression. Les besoins de presentation en electronique ou en impression sont differents, d'autre part la limitation de l'empreinte environnementale doit conduire e reduire la densite et le volume d'information imprime;Utilisation;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;OnUpdate;Des tests d'impression sont realises pour verifier les consommations d'encre, papiers et la pertinence des informations imprimees.
UX/UI;A;A;B;Permettre aux utilisateurs de reduire leurs impacts;L'utilisateur peut-il controler l'activation de solutions tierces ?;Les connexions externes au service peuvent apporter de la valeur au service, mais dans certains cas lier l'utilisateur avec des pratiques auxquelles il n'adhere pas. Le choix de l'utilisation des services tiers doit etre transparent et devolu e l'utilisateur.e;Utilisation;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;OnUpdate;Cartographie des services peripheriques
UX/UI;B;B;B;"""Barebone Iteration"": Iterer votre solution jusqu'au minimalisme ""acceptable"" par vos utilisateurs";Une methode de demarche systemique est-elle en place, maetrisee par les acteurs et associee e des outils ?;Se lancer dans un projet sans prendre en compte l'ecosysteme du projet/contexte peut avoir un impact consequent sur le ROI. Mettre en place une demarche systemique et iterative permet d'etre plus efficace et responsable pour repondre aux besoins et reduire alors les delais de ROI.e;Conception;;;;;High;OnUpdate;Framework systemique
UX/UI;C;A;A;"""Barebone Iteration"": Iterer votre solution jusqu'au minimalisme ""acceptable"" par vos utilisateurs";Est-ce que la solution a ete prototypee en amont, avec le parcours utilisateur et les interactions ?;Le prototypage interactif permet, e moindre coet, d'avoir une vision graphique, ergonomique et technique de la future solution, de naviguer mais aussi de la tester. Par iteration, le prototype sera de meilleure qualite.;Conception;;;;;High;OnUpdate;Tests utilisateurs
UX/UI;C;A;B;"""Barebone Iteration"": Iterer votre solution jusqu'au minimalisme ""acceptable"" par vos utilisateurs";Le comportement et le feedback utilisateur ont-ils ete etudies pour repondre au mieux e leurs besoins ?;Le projet est realise pour des utilisateurs, ne pas prendre en compte leurs comportements, leurs retours d'utilisation de la solution n'est pas recommandable. Faire tester sa solution aupres d'un panel d'utilisateurs permet d'avoir un reel feedback terrain et d'ajuster le projet pour mieux repondre aux besoins.;Utilisation;;;;;High;OnUpdate;Sondage / evaluation user
UX/UI;B;B;A;"""Barebone Iteration"": Iterer votre solution jusqu'au minimalisme ""acceptable"" par vos utilisateurs";La conception est-elle documentee (fonctionnellement et techniquement), les livrables de conception doivent etre intelligibles par l'equipe projet et transferables e l'equipe de developpement ?;Trop de documents inadaptes sont produits lors des phases de conception. Une synchronisation entre les differents niveaux d'attentes (tant sur le fond que sur la forme) ameliorera la conduite du projet et evitera les frustrations de toutes parts ainsi que l'impact energetique et humain.;Realisation;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;Low;OnUpdate;Documentation technique
UX/UI;C;B;B;"""Barebone Iteration"": Iterer votre solution jusqu'au minimalisme ""acceptable"" par vos utilisateurs";Est-ce que les recherches les plus frequentes ont ete etudiees et adressees pour qu'elles soient ou mises en cache ou affichees e l'utilisateur sans envoi de requete ou clics inutiles.;L'utilisation des moteurs de recherches internes au service permettent aux utilisateurs d'acceder plus rapidement aux informations en limitant la navigation sur le service. Ces moteurs de recherche sont donc un atout d'un point de vue efficacite environnementale et assistance e l'utilisateur. En revanche ils peuvent ne pas disposer de toutes les reponses et s'appuient sur des ressources distantes qu'il est coeteux de consulter. Il est important de reduire les echanges entre votre service et les serveurs distants pour de ne pas annuler le benefice acquis par l'utilisation du moteur de recherche.;Utilisation;;(X / Y ) * 100;Sollicitation des caches;Requetes de recherche;Medium;OnUpdate;Dossier technique
UX/UI;B;B;B;"""Barebone Iteration"": Iterer votre solution jusqu'au minimalisme ""acceptable"" par vos utilisateurs";Le chemin parcouru pour acceder au service est-il le plus rapide et le plus simple possible ?;Il y a plusieurs scenarios d'acces aux services et/ou information d'un applicatif. Il faut les examiner et les faire coexister afin d'ameliorer l'experience des utilisateurs.;Utilisation;;;;;;;
UX/UI;C;B;A;"""Barebone Iteration"": Iterer votre solution jusqu'au minimalisme ""acceptable"" par vos utilisateurs";Une demarche d'amelioration continue a-t-elle ete mise en place ?;Au fil du temps, l'organisation va augmenter sa maturite NR. Les services doivent pouvoir beneficier de ces progres pour s'enrichir de plus d'intelligence NR embarquee;Maintenance;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;Periodic;Backlog
UX/UI;A;B;B;Ingenierie media : alleger au maximum les medias du service numerique ( images, animations, contenu ... );Est ce que la fonctionnalite peut etre proposee sans l'appel de scripts ou de bibliotheques externes (JS, AJAX, ...) ?;Les peripheriques utilisateurs disposent de ressources de traitement, la mise en oeuvre de ces ressources consomme de l'energie et necessite de transporter vers le peripherique utilisateur les codes executables. En reduisant l'utilisation de scripts qui fonctionnent sur le poste utilisateur les 2 aspects sont attenues. De plus, certains utilisateurs peuvent ne pas pouvoir utiliser des scripts.;Conception;;(X / Y ) * 100;Fonctionnalites analysees;Fonctionnalites candidates;High;OnUpdate;Le code source est analyse pour identifier les appels de bibliotheques externes
UX/UI;A;B;B;Ingenierie media : alleger au maximum les medias du service numerique ( images, animations, contenu ... );La fonctionnalite cible necessite -t-elle l'appel d'une iFrame ?;L'accessibilite d'une iframe etant nulle et l'ergonomie de la page proposant le service etant restreinte, l'iFrame est une solution qui degradera l'experience utilisateur.e;Realisation;;;;;;;
UX/UI;A;B;A;Ingenierie media : alleger au maximum les medias du service numerique ( images, animations, contenu ... );Une politique de gestion/utilisation des medias afin de reduire leurs impacts est-elle en place, avec des criteres de compression et de formats des medias ?;Le volume de donnees transferees augmente l'empreinte environnementale du service. Il est necessaire de proposer les medias necessaires e l'affichage du service dans la compression idoine afin d'ameliorer le service et augmenter sa sobriete.e;Realisation;INCONTOURNABLE;(X / Y ) * 100;Media compresses;Supports media;High;OnUpdate;Les outils/consoles de developpement et les extensions des navigateurs permettent de verifier les bonnes pratiques (ex : CHROME - Extension greenIT / bonnes pratiques)
UX/UI;A;B;B;Ingenierie media : alleger au maximum les medias du service numerique ( images, animations, contenu ... );Le nombre de polices de caracteres (fonts) et les variantes de polices appelees (graisse, caracteres utilises dans le projet) sont-ils limites ?;Les polices de caracteres peuvent etre tres volumineuses. En reduisant le nombre de polices uniquement e celles utilisees dans le service, la volumetrie echangee diminue.;Conception;INCONTOURNABLE;(X / Y ) * 100;"Moins de 3 polices = 100 ; 3-5 polices = 50 ; Plus de 5 = 0";100;High;OnUpdate;Les outils/consoles de developpement et les extensions des navigateurs permettent de verifier les bonnes pratiques (ex : FIREFOX - console / alertes)
UX/UI;B;B;B;Ingenierie media : alleger au maximum les medias du service numerique ( images, animations, contenu ... );Est-ce que les fonctionnalites et composants natifs du systeme peuvent correspondre au besoin ?;Certaines fonctionnalites sont disponibles sous plusieurs formes. Lorsqu'elles sont natives, aucun code ou composants supplementaires ne sont necessaires pour les utiliser ce qui reduit l'impact du service.;Conception;;(X / Y ) * 100;Fonctionnalites analysees;Fonctionnalites candidates;High;OnUpdate;Code source
UX/UI;A;B;B;Ingenierie media : alleger au maximum les medias du service numerique ( images, animations, contenu ... );Les videos et animations sont-elles utilisees uniquement lorsqu'elles apportent une valeur pour l'utilisateur ?;Les flux video et les animations generent un volume de donnees important. La limitation des videos reduit la charge environnementale du service. Certains publics ne sont pas en mesure d'utiliser des videos, ils seront donc exclus du service si celui-ci s'appuie sur ce type de media.;Conception;;(X / Y ) * 100;Videos analysees;Videos;High;OnUpdate;Les parcours utilisateur presentent les objets media et la valeur ajoutee des informations proposees par ces objets
UX/UI;A;B;B;Ingenierie media : alleger au maximum les medias du service numerique ( images, animations, contenu ... );Les images sont-elles optimisees par rapport e leurs fonctions ?;Le volume de donnees echangees pour la presentation d'une image depend de sa taille et de la qualite de son format. Certaines images ont des valeurs d'information importantes, d'autres ne sont que de l'illustration. Les consommations de ressources liees doivent donc etre en rapport avec l'importance de l'image et permettre e des publics pour lesquels les images ne sont pas accessibles de comprendre leur signification.;Realisation;;(X / Y ) * 100;Images analysees;Images;High;OnUpdate;Les outils/consoles de developpement et les extensions des navigateurs permettent de verifier les bonnes pratiques (ex : CHROME - Extension greenIT / bonnes pratiques)
UX/UI;C;B;B;Valeur : soyez transparent avec vos utilisateurs;Les informations partagees sont-elles utiles e l'utilisateur ?;L'efficacite d'utilisation d'un service numerique est basee sur la comprehension par l'utilisateur de la maniere de satisfaire ses attentes. Les informations que le service numerique communique doivent permettre cette efficacite, en revanche des informations parasites peuvent brouiller sa comprehension et engendrer des comportements qui ne sont pas optimum et qui generent donc des actions inutiles pour l'utilisateur et impactantes pour l'environnement.;Utilisation;;;;;;;
UX/UI;B;A;A;Valeur : soyez transparent avec vos utilisateurs;La notification de toutes les interactions machine / utilisateur ont-elles ete prises en compte pour donner systematiquement e l'utilisateur le resultat de ses actions et gerer les erreurs ?;Les actions declenchees par l'utilisateur peuvent conduire e des erreurs. Afin d'eviter que l'utilisateur ne repete les memes erreurs il doit etre informe du fait qu'une erreur est survenue et indiquer la cause ou le mode operatoire pour la corriger. A l'inverse lorsqu'une action se deroule sans anomalie, l'utilisateur doit aussi le savoir pour ne pas reiterer une meme action.;Realisation;;(X / Y ) * 100;Interactions analysees;Interactions utilisateurs;Medium;OnUpdate;Navigation / parcours utilisateur
UX/UI;C;B;A;Valeur : soyez transparent avec vos utilisateurs;Les feedbacks utilisateurs d'evaluation du service sont-ils pris en compte ?;La mesure de la satisfaction ou insatisfaction des utilisateurs est un marqueur important de retour d'experience qui permet d'ameliorer la qualite de service et traiter les cas errones qui ne seraient pas directement visibles mais introduiraient des consequences sur la performance globale du service pour remplir les fonctionnalites attendues.;Utilisation;;;;;;;
UX/UI;C;A;B;Valeur : soyez transparent avec vos utilisateurs;L'utilisateur a-t-il les moyens de verifier simplement les informations exposees dans le service ?;Lorsque les informations communiquees ne sont pas jugees fiables par les utilisateurs, cela peut engendrer des recherches supplementaires pour confirmer des assertions et genere une navigation parasite. D'autre part, la credibilite du service peut etre remise en cause et ecartee par les utilisateurs. Les utilisateurs ont le droit d'avoir des informations fiables, les editeurs de service ont le devoir de respecter leurs utilisateurs en transmettant des informations verifiees.e;Utilisation;;;;;;;
UX/UI;A;A;B;Valeur : soyez transparent avec vos utilisateurs;Chacune des actions sont-elles initiees par l'utilisateur ? est-il informe de la portee et des consequences de ses actions ?;Le mode de fonctionnement du service numerique doit etre transparent vis-e-vis de l'utilisateur, les actions proposees doivent etre clairement decrites et les consequences exposees.;Utilisation;;(X / Y ) * 100;Interactions analysees;Interactions utilisateurs;High;OnUpdate;Les validations de parcours utilisateur couvrent la recherche de comportments du service ou l'utilisateur n'a pas l'initiative de l'operation ou n'et pas informe du resultat
UX/UI;C;A;B;Valeur : soyez transparent avec vos utilisateurs;Les utilisateurs sont-ils informes que des informations confidentielles sont collectees ?;Les donnees que les utilisateurs confient sont sous votre responsabilite et les utilisateurs doivent etre tenus informes du soin que vous mettez en oeuvre pour assurer la confidentialite de leurs donnees. Le RGPD impose un cadre pour les donnees personnelles mais ne couvre pas les autres categories de donnees qui meriteraient pourtant les memes attentions et precautions.;Utilisation;;;;;;;
UX/UI;A;B;A;Valeur: concevez un Service Numerique ethique, en ligne avec vos valeurs;Le service evite-t-il les Dark Patterns ?;Certains services sont penses pour creer une certaine forme de dependance e celui-ci. L'utilisateur ne doit pas etre soumis et expose e certaines mecaniques de sur-consommation numerique.;Conception;INCONTOURNABLE;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;OnUpdate;Realisation d'une etude de captologie
UX/UI;C;A;A;Valeur: concevez un Service Numerique ethique, en ligne avec vos valeurs;Les normes legales d'affichage et de communication sur le RGAA (service publique et Societe privee de plus de 250 M d'e de CA) sont-elles prises en compte ?;Tous support numerique doit etre accessible par tout e chacun. Il est necessaire de pouvoir tenir informe l'utilisateur du niveau d'accessibilite et des efforts en cours pour ameliorer le service. Ces informations doivent etre disponibles et explicitement flechees dans le parcours de l'utilisateur.;Realisation;;;;;High;OnUpdate;Declaration d'accessibilite
UX/UI;B;A;A;Valeur: concevez un Service Numerique ethique, en ligne avec vos valeurs;Des regles en matiere de respect de l'utilisateur sont-elles mises en place ?e;Certains services sont penses pour creer une certaine forme de dependance e celui-ci. L'utilisateur doit pouvoir rester objectivement juge de sa consommation numerique;Conception;INCONTOURNABLE;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;Medium;OnUpdate;Realisation d'une etude de captologie
UX/UI;B;A;B;Valeur: concevez un Service Numerique ethique, en ligne avec vos valeurs;Est-ce que les publicites sont bien identifiees comme telles et ont-elles une vraie valeur economique dans le service ?;La publicite ciblee ou non peut etre une source de revenus incontournable pour le service numerique, la valeur apportee doit etre suffisante pour justifier ces encarts promotionnels, et les utilisateurs ne doivent pas pouvoir confondre ces bannieres de publicite et les contenus du service.;Conception;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;High;OnUpdate;Analyse de benefices
UX/UI;B;A;C;Valeur: concevez un Service Numerique ethique, en ligne avec vos valeurs;Dans quelle mesure l'attention de l'utilisateur est-elle contrelee par le service ?;L'attention de l'utilisateur est une ressource qui doit etre consideree comme rare et precieuse. Dans cette optique le respect de l'utilisateur passe aussi par sa capacite e concentrer son attention sur les elements de son choix, plutet que ceux que le service souhaiterait mettre en avant.;Utilisation;;;;;Medium;OnUpdate;Etude de captologie
CONTENUS;B;C;B;Appliquer une demarche editoriale pour les contenus;Est-ce que les prestataires retenus pour la production des contenus ont un engagement NR, RSE, accessibilite (formations, inclusion, ethique) ?;Beaucoup d'elements sont produits en externe, il serait dommageable de casser une dynamique NR en choisissant des prestataires dont le NR n'est pas un moteur;Acquisition;;(X / Y ) * 100;Engagements NR ou RSE;Prestataires;High;Periodic;Projet
CONTENUS;C;A;B;Appliquer une demarche editoriale pour les contenus;Est-ce que l'ensemble des sources utilisees a ete verifie ?;Les informations transmises peuvent etre sujettes e controverses et vont necessiter du temps et l'utilisation de ressources techniques ayant un impact environnemental, pour que les utilisateurs puissent les verifier ou les utiliser sans etre abuses;Acquisition;;;;;;;
CONTENUS;C;B;B;Appliquer une demarche editoriale pour les contenus;Est-ce que les faits et opinions sont clairement identifiables ?;Lorsque les informations communiquees ne sont pas jugees fiables par les utilisateurs, cela peut engendrer des recherches supplementaires pour confirmer des assertions et une navigation parasite. D'autre part, la credibilite du service peut etre remise en cause et ecarter des utilisateurs. Les utilisateurs ont le droit d'avoir des informations fiables. Les editeurs de service ont le devoir de respecter leurs utilisateurs en transmettant des informations verifiees.e;Conception;;;;;;;
CONTENUS;C;B;B;Appliquer une demarche editoriale pour les contenus;Quels sont les droits d'utilisation des images, videos, illustrations et textes de mon site ?;L'emploi de ressources et materiels externes est courant dans les services numeriques. Il est important de respecter la propriete intellectuelle et rendre aux createurs la visibilite liee e leurs creations originales pour respecter une ethique numerique.;Acquisition;;(X / Y ) * 100;Ressources analysees;Ressources;Medium;OnUpdate;Projet
CONTENUS;B;B;C;Appliquer une demarche editoriale pour les contenus;Les balises de mise en forme de texte repondent-elles au besoin de hierarchisation des informations, et pas e des mises en valeur de presentation ?;Les automates et assistants d'accessibilite utilisent les balises pour se reperer et structurer la restitution. L'emploi de balises ne correspondant pas e la structure du contenu, par exemple pour des mises en forme de texte, rendent l'utilisation de ces assistants plus difficiles pour une bonne comprehension du contenu.;Realisation;INCONTOURNABLE;(X / Y ) * 100;Tags analyses;Tags Hx;Medium;OnUpdate;L'analyse des codes sources permet de verifier l'utilisation des balises HTML
CONTENUS;A;B;B;Reduire l'empreinte des contenus statiques;Est-ce que les images ont ete compressees en amont dans un format adapte pour sa visualisation ?;La transmission de donnees compressees est indispensable pour reduire l'impact des echanges, en revanche les algorithmes de compression sont consommateurs de ressources techniques de traitement, de stockage intermediaire. Lorsque les compressions sont effectuees e chaque demande d'echange, le benefice de la compression peut disparaetre ou meme augmenter l'impact.;Realisation;INCONTOURNABLE;(X / Y ) * 100;Images compressees;Images;High;OnUpdate;Les outils/consoles de developpement et les extensions des navigateurs permettent de verifier les bonnes pratiques (ex : CHROME - Extension greenIT / bonnes pratiques)
CONTENUS;A;B;B;Reduire l'empreinte des contenus statiques;Quelles sont les images reellement porteuses de sens utiles e la comprehension du service (exemples: logo, images liens, images contractuelles...) ?;Le poids, et donc son impact, d'une image est sans commune mesure avec du texte. Chaque fois que le choix d'utilisation d'une image est fait, il doit etre justifie. Une image peut etre necessaire voir contractuelle (image d'un produit sur un service de vente en ligne) ou ne servir qu'e un remplissage d'espace dans le contenu. Reduire le nombre d'images diminue l'impact d'utilisation du service.;Conception;;(X / Y ) * 100;Images analysees;Images;High;OnUpdate;Les parcours utilisateur presentent les images exposees dans le service et la valeur ajoutee des informations proposees par ces objets
CONTENUS;B;B;B;Reduire l'empreinte des contenus statiques;De quelles images peut-on se passer (pas utile e la comprehension du service) ?;Le poids et donc son impact d'une image est sans commune mesure avec du texte. Chaque fois que le choix d'utilisation d'une image est fait, il doit etre justifie. Une image peut etre necessaire voir contractuelle (image d'un produit sur un service de vente en ligne) ou ne servir qu'e un remplissage d'espace dans le contenu. Reduire le nombre d'images diminue l'impact d'utilisation du service.;Conception;;(X / Y ) * 100;Images analysees;Images;High;OnUpdate;Tests navigation
CONTENUS;A;B;B;Reduire l'empreinte des contenus statiques;Est-ce que du texte peut remplacer certains types d'images (icons, picto...);Le poids et donc son impact d'une image est sans commune mesure avec du texte. Chaque fois que le choix d'utilisation d'une image est fait, il ne doit pas pouvoir etre remplace par un texte simple. Reduire le nombre d'images diminue l'impact d'utilisation du service.;Conception;;(X / Y ) * 100;Images analysees;Images;High;OnUpdate;Les parcours utilisateur presentent les images exposees dans le service et la valeur ajoutee des informations proposees par ces objets
CONTENUS;B;A;B;Reduire l'empreinte des contenus statiques;Une alternative aux images est-elle systematiquement disponible ?;Les assistants d'accessibilite doivent pouvoir utiliser une description de l'information portee par l'image afin de permettre une bonne comprehension du service sans la vision de l'image.;Conception;;(X / Y ) * 100;Images analysees;Images;High;OnUpdate;Code source / CHROME : extension lighthouse - Accessibilite
CONTENUS;B;B;C;Reduire l'empreinte des contenus statiques;La superposition d'information est-elle supprimee ?;La proliferation d'informations superposees rend le service plus difficile e comprendre et e utiliser par des publics moins familiers avec les technologies ou ceux pour lesquels la technologie ne peut etre pereu facilement.;Realisation;;;;;;;Navigation / code source
CONTENUS;C;C;B;Reduire l'empreinte des contenus statiques;L'impact de l'internationalisation (multi-langues ...) est-il evalue ?;La gestion multi-langues ajoute une volumetrie consequente de messages traduits dans les differentes langues. Certaines langues imposent des encodages de caracteres multi-Bytes plus consommateurs d'espace memoire.;Realisation;;(X / Y ) * 100;"Formalises = 100 ; prevus = 75 ; Identifies = 50 ; Non = 0";100;Low;OnUpdate;Fiche de cadrage projet
CONTENUS;B;C;B;Reduire l'empreinte des contenus statiques;Le nombre de polices differentes est-il limite ?;Chaque police est encodee dans un fichier presentant tous les symboles associes ce qui represente un volume de donnees important echange et manipule.e;Realisation;;;;;High;OnUpdate;Code source / CHROMEe
CONTENUS;B;C;B;Reduire l'empreinte des contenus statiques;Privilegiez-vous les polices systeme ?;Les polices systemes sont embarquees dans les outils de presentation et ne sont pas vehiculees. Les flux sont donc reduits lorsqu'elles sont utilisees.;Realisation;;;;;High;OnUpdate;Code source / CHROMEe
CONTENUS;B;B;B;Reduire l'empreinte des contenus statiques;Est-ce que la mise en forme du formulaire est minimale (afin de ne pas surcharger le code pour des styles peu utiles) ?;Les balises de mise en forme generent un volume supplementaire de donnees echangees et manipulees, reduire ces elements permet d'optimiser les traitements et les echanges;Realisation;;;;;;;
