Original family;Planet;People;Prosperity;RECOMMENDATION;Criteria;Justifications;Stage life cycle;inescapable;Indicators;X;Y;Priority;Recurrence;USE CASE;ID
UX / UI;;;;Make available and accessible digital service to the largest number of users;;;;;;;;;;;UX/UI-3
UX / UI;C;A;B;Make available and accessible digital service to the largest number of users;The brakes of the use of digital (accessibility, technical, territorial) are they taken into account?;In order to be responsible, the Digital must first be available and accessible (in France, 14% of the population does not have Internet access or no digital skills (source: life-publique.fr / dila Source: ICT Surveys - INSEE), because in France more than one user on 3 lack of basic numerical skills. It is the object of the human dimension of the NR, which covers the brakes e the use of the numeric for some public based on capabilities perceive the elements (accessibility) and the access and quality of networks.;Design;;;;;;;;UX/UI-3.C01
UX / UI;C;A;B;Make available and accessible digital service to the largest number of users;What solutions are deployed to combat illectronism and simplify uses and services?;REDUCE THE INEQUALITY DEACCES TO DIGITAL SERVICE In order to survey no user, these cases of exclusion can be strongly limited by taking into account very tet in the design social, generational and territorial disappearances.;Design;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Low;Onupdate;Users tests;UX/UI-3.01
UX / UI;B;A;B;Make available and accessible digital service to the largest number of users;Technological, social, physical, temporal criteria that allow your users to achieve their goal and limit the digital divide, are they taken into account?;Treat Digital Exclusion Cases is the first key step, but it does not guarantee that the user will be able to achieve his goals easily by using the service. These aspects must be addressed by facilitating the user's path.;Design;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Low;Onupdate;Impact analysis;UX/UI-3.02
UX / UI;A;A;A;Make available and accessible digital service to the largest number of users;Does the service work with weak connections?;Development and testing environments are often efficient which masks networks with low performance. In order not to render the service in terms of networks or exhausts unusable are reduced the NR approach must take into account a design adapted to the territories or locations whose access networks are degrades.;Use;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Perioric;Browser Development Tools and Consoles are used to simulate networks with reduced bandwidths (eg Firefox: console / limiting bandwidth);UX/UI-3.03
UX / UI;C;A;A;Make available and accessible digital service to the largest number of users;Do the assistive access mechanisms are available and adapted to all public?;The capabilities of interactions between the user and the service can be improved with online support mechanisms that must respect the same NR requirements that the entire service. The accessibility must be thought for the service as well as for help solutions.;Use;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Low;Onupdate;Users tests;UX/UI-3.04
UX / UI;C;A;A;Make available and accessible digital service to the largest number of users;Has a human Fall-Back been set up, to accompany the taking on the service?;The user support load is most often delened with an automaton, in order to overcome the availability constraints and do not generate waiting time for frequently installed answers. Contact with an automaton can be frustrating and must be able to turn into human contact also respecting all Criters NR.;Use;;;;;;;;UX/UI-3.C02
UX / UI;A;A;B;Make available and accessible digital service to the largest number of users;Is a compatibility strategy with obsolete terminal and software versions defined?;Technological Advancers urge the material requirements permanently, which reduces the park of periphery on which a service can be operated. This aspect shows some users and pushes the renewal of equipment still in working with the environmental impact associated.;Use;UNAVOIDABLE;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Perioric;Each element references in the technical file carries information of degree of compatibility;UX/UI-3.05
UX / UI;B;B;A;Make available and accessible digital service to the largest number of users;In the definition of Personae, the target versions of Devices, OS and Browsers have taken into account?;The activity sector, the user profile most often allows to qualify the park equipment that will be used for the service. The materials are determined by their technical capacities (computing power, memory, NETWORK CAPACITY, SENSORS, SIZE and QUALITY OF SCREEN) but also by the operating systems they can accommodate. Each constraint that the service imposes reduces the number of posts that can use it and therefore excludes public.;Design;;;;;;;;UX/UI-3.C03
UX / UI;;;;Allow people with disabilities or suffer from deficiencies, access and efficiently use digital service;;;;;;;;;;;UX/UI-4
UX / UI;C;A;A;Allow people with disabilities or suffer from deficiencies, access and efficiently use digital service;Design, does the service reply to the standards of access in force (at least)?;At the end of the purely regulatory aspects, the anticipation of the consideration of accessibility is necessary to ensure coverage of this subject throughout the service duration of the service. Anticipate future points of regulations and standards makes it possible to perennize the service by limiting the needs of daylights dictated by the Legal environment.;Design;UNAVOIDABLE;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Onupdate;Regulatory and legal aspects are expressed, valid and shared;UX/UI-4.01
UX / UI;C;B;B;Allow people with disabilities or suffer from deficiencies, access and efficiently use digital service;Can any user type know easily where it is in the service, by setting up an inclusive navigation system?;The easier the service is easy to use and well built, the less the user will spend time e find the information he seeks, which will reduce parasitic navigations and decrease the consumption of resources and energy;Use;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Low;Onupdate;Browser / Keyboard keys: TAB / SPACE / ENTER;UX/UI-4.02
UX / UI;;;;"""Less is more"": focus on essential features and simplify your interface";;;;;;;;;;;UX/UI-5
UX / UI;A;B;B;"""Less is more"": focus on essential features and simplify your interface";Is a visual sobriete put in place, to limit the energetic resources and the impact on the material degradation of the visual, sound and tactile components of the interface?;Visual, sound and tactile elements / components can be highlighted in a purely aesthetic and / or marketing approach but have only very little interest for the user. The simplification of these elements will bring better ergonomics and adapted use each as well as a reduction of the energetic impact.;Production;UNAVOIDABLE;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Onupdate;A Dark Mode module is systematically proposed;UX/UI-5.C01
UX / UI;A;A;B;"""Less is more"": focus on essential features and simplify your interface";Are the functionalites used by the user?;According to Studies (Cast Software and Standish Group), 70% of the features are never or rarely used. (Ref 115 good practices);Use;UNAVOIDABLE;(X / y) * 100;Validation of use;Functionalities;High;Perioric;Users routes are simulates and valid to identify usage uses. Dativers are identified and collecting (analytics / probes) in production.e;UX/UI-5.01
;;;;;;The number of features available in a digital service directly impact resource consumption and environmental impact, creating features of little use. These are sources of creating totally useless environmental debts. Functionalists also increase the volume of service, which introduce delays of loads, additional storage spaces.;;;;;;;;;UX/UI-5.02
UX / UI;C;B;B;"""Less is more"": focus on essential features and simplify your interface";Are the decision-making justified and supported by reliable indicators on the uses of functionalites throughout the service lifecycle?;The supervision of use allows you to validate estimates made in debut of design and identify the slopes of improvement. But this principle is based on reliable sources of data.;Administration;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Perioric;Impact analysis;UX/UI-5.03
UX / UI;B;B;B;"""Less is more"": focus on essential features and simplify your interface";A policy / prominent / routine reduction and progressive prioritization of functionalities, interactions and graphic elements, is it put in place?;Elements cuts on interfaces may not disrupt users, and therefore generate reduced footprint with fewer elements and functionalities without deteriorating the value of the service while limiting its environmental impact.;Maintenance;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Perioric;Backlog;UX/UI-5.C02
UX / UI;C;C;B;"""Less is more"": focus on essential features and simplify your interface";Are the SEO service stakeholders integrated, the design phase?;The optimization algorithms tend to accumulate data, in the majority of cases the collection data is not analyzed and therefore do not stream the uses. The optimizations must be part of an Iterative approach and each return must allow for efficiency gain before passing the next step.;Administration;;;;;;;;UX/UI-5.C03
UX / UI;A;B;B;"""Less is more"": focus on essential features and simplify your interface";Is the practice of e-mailing reflective, justifies and reduced its strict necessaries?;Mail broadcasts especially when emails contain rich content generate significant environmental load. In the case of mass diffusion, these impacts are dollen. The case of newsletters is particularly subject E This explosion of traffic. The contents, volumes and targets of broadcasts must be reduced to compensate for efficiency and relevance, which was supported by massive diffusion.;Use;;;;;;;;UX/UI-5.04
UX / UI;A;C;B;"""Less is more"": focus on essential features and simplify your interface";Is an archiving schedule and an alleged version of the old consultable contents implemented?;It is often produced a non-negligible amount of files, often Version, to meet customer requirements.;End of life;;(X / y) * 100;Volume delete;Volume of inactive content;Medium;Perioric;Configuration management takes into account the contents with their optimization mechanisms according to the seniority;UX/UI-5.C04
;;;;;;Establish a good file management practice (customer deliverables as internal) is essential.;;;;;;;;;UX/UI-5.C05
;;;;;;Sort and delete obsolete and non-usable versions will have a positive impact on storage.;;;;;;;;;UX/UI-6
;;;;;;Indeed, all these data stores have an environmental coet because the use of servers most often, and thus represent a significant financial coet also.;;;;;;;;;UX/UI-6.C01
;;;;;;DEFINE A CONTENT ARCHIVING POLICY Contributes to responsible and effective management of service production.;;;;;;;;;UX/UI-6.01
UX / UI;B;B;C;"""Less is more"": focus on essential features and simplify your interface";Do the analytics have been limited to strict need to optimize the service?;"The analytics databases are installed in the source codes and must be positioned only at the passage points where they provide a possibility of performance improvement because their actions are not neutral; They collect, transmit, store data and increase the services by adding executable codes that require processing resources on user peripheral, networks and remote servers. In addition, the data collected can be transmitted and used by third parties for uses that the user is not always aware.";Use;;;;;;;;UX/UI-6.C02
UX / UI;B;B;C;"""Less is more"": focus on essential features and simplify your interface";Do the third-party social services, Social Wall, Carousels, Google Maps etc) are not used by facilitating the lack of content production resources?;It is common to use third-party services related to the use of social networks, geolocation, etc.;Design;;;;;;;;UX/UI-6.C03
;;;;;;The use of these third party services must be at the service of information and not to replace itself as their use is very gourmet in resources, bandwidth and battery of terminals in particular.;;;;;;;;;UX/UI-6.C04
;;;;;;It is important to limit their use to strictly needed to limit their environmental impact.;;;;;;;;;UX/UI-6.02
UX / UI;;;;Allow users to reduce their impacts;;;;;;;;;;;UX/UI-6.03
UX / UI;A;B;B;Allow users to reduce their impacts;Does the use of the service allow you to consider less impact software or material configurations for the environment?;Users' equipment are more and more efficient and digital services are exploiting these technical capabilities.;Use;;;;;;;;UX/UI-7
;;;;;;This has the effect of accentuating the digital fracture by excluding some of the users who can not obtain these terminals that have a significant financial coet.;;;;;;;;;UX/UI-7.01
;;;;;;It is therefore important to question the use of the use of these technologies to arrive at the finality of the digital service while preserving access to the greatest number.;;;;;;;;;UX/UI-7.02
UX / UI;A;B;A;Allow users to reduce their impacts;Does the user experience take into account the possible evolutions of the service (addition / removal of functionalites)? E;Digital service has a lifestyle that is important to prolong to the maximum.;Use;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Medium;Onupdate;The process of continuous improvement is based on the backlog, the improvements with a nr orientation are identified by tags / labels NR;UX/UI-7.03
;;;;;;There is often a beta version, then follow other functionalities will be added to the thread.;;;;;;;;;UX/UI-7.04
;;;;;;It is important to raise these issues of service design with different partners and customers to develop a modular and time-adaptable service.;;;;;;;;;UX/UI-7.05
;;;;;;This will limit the financial and environmental and environmental requirements because the service will be evolving, extending its duration of life.;;;;;;;;;UX/UI-7.C01
UX / UI;A;A;B;Allow users to reduce their impacts;Does all the constituent elements of the interface are the subject of a particular attention to impact NR, while respecting the rules of accessibility?;The more simple the visual theme, the more resources it will be consummed to display it.;Acquisition;;;;;;;Chrome: Extension Lighthouse / Accessibility;UX/UI-7.06
;;;;;;The higher the service implements of components (loading on servers, networks, and peripherals), the higher the impact of the simultaneous user number.;;;;;;;;;UX/UI-8
;;;;;;The technical solution is often overdimensing production environments to ensure better fluidity on service.;;;;;;;;;UX/UI-8.01
;;;;;;Offering users to choose a less greedy service will contribute to reduce the environmental impact (clutter of networks and over-the-sizing of infrastructure).;;;;;;;;;UX/UI-8.C01
;;;;;;With the increase in the number of users, the service will rule out, the overall perimeter will remain constant and / or mastered with precisely dimensioned technical means.;;;;;;;;;UX/UI-8.02
;;;;;;In addition, this will have a pedagogical recovery: the user will be able to become an actor of his own consumption and his environmental impact.;;;;;;;;;UX/UI-8.03
UX / UI;A;B;B;Allow users to reduce their impacts;"Are solutions without ""graphical"" interface provided for certain functionalities, in order to offer alternatives to visual design in the interface? E";An interface does not only fall on the visual elements that constitute it, it may be interesting to challenge the other approaches of the user experience in order to reduce the impact of the service.e;Design;;;;;;;;UX/UI-8.04
UX / UI;A;B;B;Allow users to reduce their impacts;An Oriente NR parameter space is provision of the user, to minimize the number of presentation elements? E;Each action counts and the user fully relates to play in the reduction of his environmental impact.;Use;;;;;;;;UX/UI-8.05
;;;;;;Sensitize the user and allow him to be actor.;;;;;;;;;UX/UI-8.06
;;;;;;Inform of the impact of its actions and propose simple and fast alternatives will make it possible to have more responsible use of the service and to develop a collective consciousness, term, concerning digital pollution.;;;;;;;;;UX/UI-9
UX / UI;A;B;B;Allow users to reduce their impacts;Is the dematerization of the service complete, and in the case OE the production of paper documents is essential, is it here to limit its impact to a minimum?;Dematerialization flows are sometimes broken, and impose the production of writing on paper. The user, in some cases, can also be more comfortable using printed documents rather than 100% electronic. Impressions have an important environmental impact, whether in paper consumption, consumables such as cartridges and printing inks. The needs of presentation in electronics or printing are different, on the other hand, the limitation of the environmental footprint must lead to reduce the density and the volume of information prints;Use;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Onupdate;Printing tests are made to verify the ink, papers and the relevance of the information printed.;UX/UI-9.C01
UX / UI;A;A;B;Allow users to reduce their impacts;Can the user control the activation of third-party solutions?;External connections to the service can bring value to the service, but in some cases link the user with practices he does not claim. The choice of the use of third-party services must be transparent and will have the user.;Use;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Onupdate;Cartography of peripheral services;UX/UI-9.01
UX / UI;;;;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";;;;;;;;;;;UX/UI-9.C02
UX / UI;B;B;B;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";Is a method of systemic approach in place, maetrisee by the actors and associated with tools?;Entering a project without taking into account the project / context ecosystem can have an impact on the king. Establish a systemic and Iterative approach makes it possible to be more efficient and responsible to meet the needs and then reduce the delays of King.e;Design;;;;;High;Onupdate;Systemic Framework;UX/UI-9.C03
UX / UI;C;A;A;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";Does the prototype solution upstream, with the user path and interactions?;Interactive prototyping allows, less coet, to have a graphic, ergonomic and technical vision of the future solution, navigate but also to test it. By Iteration, the prototype will be better quality.;Design;;;;;High;Onupdate;Users tests;UX/UI-9.02
UX / UI;C;A;B;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";Did the behavior and feedback have been studied to best meet their needs?;The project is made for users, do not take into account their behaviors, their feedback from the solution is not recommendable. Testing its solution with a panel of users allows you to have a real feedback field and adjust the project to better meet the needs.;Use;;;;;High;Onupdate;Survey / Evaluation User;UX/UI-9.C04
UX / UI;B;B;A;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";Is the design documentary (functionally and technically), the design deliverables must be intelligible by the project team and transferables e the development team?;Too much inadid documents are produced during design phases. Synchronization between the different levels of expectations (both on the merits and on the form) will improve the conduct of the project and will avoid frustrations from all sides as well as the energetic and human impact.;Production;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Low;Onupdate;Technical documentation;UX/UI-10
UX / UI;C;B;B;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";Does the most frequent searches have been studied and addressed to or cached or displays e without sending unnecessary request or clicks.;The use of internal search engines in service allow users to access information more quickly by limiting the service navigation. These search engines are therefore an asset from an environmental efficiency and assistance E the user. On the other hand, they may not have all the answers and rely on remote resources it is coexious to consult. It is important to reduce the exchanges between your service and the remote servers to avoid canceling the guest acquired through the use of the search engine.;Use;;(X / y) * 100;Solicitation of caches;Research Requests;Medium;Onupdate;Technical file;UX/UI-10.01
UX / UI;B;B;B;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";The path traveled to access to service is it the fastest and simplest possible?;There are several scenarios for access to the services and / or information of an application. They must be examined and cause them to coexist to improve user experience.;Use;;;;;;;;UX/UI-10.02
UX / UI;C;B;A;"""Barebone Iteration"": Icer your solution until the ""acceptable"" minimalism by your users";A continuing improvement time has been put in place?;Over time, the organization will increase its Maturite NR. Services must be able to benefit from these progress to enrich more intelligence NR embedded;Maintenance;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Perioric;Backlog;UX/UI-10.03
UX / UI;;;;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);;;;;;;;;;;UX/UI-10.04
UX / UI;A;B;B;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);Can the functionalitis be proposed without the call of scripts or external libraries (JS, Ajax, ...)?;Users' peripherals have treatment resources, the implementation of these resources consumes energy and requires transportable codes to the user. By reducing the use of scripts that work on the user station the 2 aspects are attended. In addition, some users may not be able to use scripts.;Design;;(X / y) * 100;Functionalites Analysis;Candidate features;High;Onupdate;The source code is analyzed to identify external library calls;UX/UI-10.05
UX / UI;A;B;B;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);Does target functionality require the call of an iframe?;The accessibility of a zero-zero iframe and the ergonomics of the page proposing restricted service, iframe is a solution that will degrade the user experience.e;Production;;;;;;;;CTN-1
UX / UI;A;B;A;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);A policy of management / use of the media in order to reduce their impacts in place, with compression criteria and media formats?;The transfer volume transfers increases the environmental footprint of the service. It is necessary to propose the necessary medias e the display of the service in the ideal compression in order to improve the service and increase its sobriete.e;Production;UNAVOIDABLE;(X / y) * 100;Media compresses;Media Media;High;Onupdate;Development tools / consoles and browser extensions can verify good practices (eg Chrome - Greenit Extension / Good Practices);CTN-1.01
UX / UI;A;B;B;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);Are the number of fonts called (grease, characters used in the project) limits?;The fonts can be very large. By reducing the number of fonts only those used in the service, the Volumetry exchanged decreases.;Design;UNAVOIDABLE;(X / y) * 100;"Less than 3 policies = 100; 3-5 fonts = 50; More than 5 = 0";100;High;Onupdate;Development tools / consoles and browsers' extensions make it possible to check best practices (eg Firefox - Console / Alerts);CTN-1.C01
UX / UI;B;B;B;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);Can the functionalites and native components of the system match the need?;Some features are available in many forms. When native, no additional code or components are needed to use what reduces the impact of the service.;Design;;(X / y) * 100;Functionalites Analysis;Candidate features;High;Onupdate;Source code;CTN-1.C02
UX / UI;A;B;B;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);Are videos and animations use only when they bring value for the user?;Video streams and animations generate a large volume of data. The limitation of videos reduces the environmental load of the service. Some audiences are not able to use videos, so they will be excluded from the service if it relies on this type of media.;Design;;(X / y) * 100;Videos Analysis;Videos;High;Onupdate;User courses present media objects and the added value of the information proposed by these objects;CTN-1.02
UX / UI;A;B;B;Ingenierie Media: Maximum Alleger MEDIA DIGITAL SERVICE (Images, Animations, Content ...);Are the images optimized by their functions?;The volume of data exchanged for the presentation of an image depends on its size and quality of its format. Some images have important information values, others are only illustrative. The consumption of related resources must therefore be related to the importance of the image and allow the audiences for which images are not accessible to understand their meaning.;Production;;(X / y) * 100;Images Analysis;Images;High;Onupdate;Development tools / consoles and browser extensions can verify good practices (eg Chrome - Greenit Extension / Good Practices);CTN-1.03
UX / UI;;;;Value: Be transparent with your users;;;;;;;;;;;CTN-2
UX / UI;C;B;B;Value: Be transparent with your users;Are you using the user?;The efficiency of using a digital service is based on user understanding of the way to meet his expectations. The information that the digital service communicates should allow this efficiency, however, may trade its understanding and generate behaviors that are not optimum and thus generate unnecessary actions for the user and impacting the environment.;Use;;;;;;;;CTN-2.01
UX / UI;B;A;A;Value: Be transparent with your users;Have the notification of all machine / user interactions taken into account to systematically give the user the result of his actions and manage the errors?;The actions declined by the user can drive errors. In order to avoid that the user does not repeat the same errors it must be informed that an error has occurred and indicate the cause or operating mode to correct it. Conversely when an action is without an anomaly, the user must also know it so as not to reverse the same action.;Production;;(X / y) * 100;Analysis interactions;User interactions;Medium;Onupdate;Navigation / User Travel;CTN-2.02
UX / UI;C;B;A;Value: Be transparent with your users;Are the feedback users of service evaluation taken into account?;The measurement of the satisfaction or dissatisfaction of the users is an important marker of return of experience that makes it possible to improve the quality of service and process the erroneous cases that would not be directly visible but would introduce consequences on the overall performance of the service to fulfill The expected functionalities.;Use;;;;;;;;CTN-2.03
UX / UI;C;A;B;Value: Be transparent with your users;Does the user have the means to simply check the information exhibited in the service?;When the information communicated are not reliable by users, this may result in additional research to confirm assertions and generates parasitic navigation. On the other hand, the service credibility can be called into question and dismissed by the users. Users have the right to have reliable information, service publishers have the duty to respect their users by transmitting verified information.;Use;;;;;;;;CTN-2.04
UX / UI;A;A;B;Value: Be transparent with your users;Are each of the actions initiated by the user? Is it informs the scope and consequences of its actions?;The mode of operation of the digital service must be transparent vis-e-screw of the user, the proposed actions must be clearly described and the consequences exposed.;Use;;(X / y) * 100;Analysis interactions;User interactions;High;Onupdate;User course validations cover the search for service behaviors or the user does not have the operation of the operation or not informs the result;CTN-2.05
UX / UI;C;A;B;Value: Be transparent with your users;Users are they informed that confidential information is collected?;The data that the users entrust are under your responsibility and the users must be kept informed of the care you implement to ensure the confidentiality of their data. The RGDP imposes a framework for personal data but does not cover the other categories of data that would nevertheless deserve the same attentions and precautions.;Use;;;;;;;;CTN-2.C01
UX / UI;;;;Value: Design an ethical digital service, in line with your values;;;;;;;;;;;CTN-2.06
UX / UI;A;B;A;Value: Design an ethical digital service, in line with your values;Does the service avoid Dark Patterns?;Some services are thinking to create some form of dependence and this one. The user should not be submitted and exposed certain digital-consumer mechanics.;Design;UNAVOIDABLE;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Onupdate;REALIZATION OF A CAPTOLOGY STUDY;CTN-2.07
UX / UI;C;A;A;Value: Design an ethical digital service, in line with your values;Legal standards for posting and communication on the GRFA (Public Service and Private Society of more than 250 m of Ca) are they taken into account?;All digital support must be accessible by all e each. It is necessary to be able to keep the user from the level of accessibility and ongoing efforts to improve the service. This information must be available and explicitly flipped in the user's path.;Production;;;;;High;Onupdate;DECLARATION OF ACCESSIBILITY;CTN-2.08
UX / UI;B;A;A;Value: Design an ethical digital service, in line with your values;Are the user of respect for the user are they put in place? E;Some services are thinking to create some form of dependence and this one. The user must be able to remain objectively judge of his digital consumption;Design;UNAVOIDABLE;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Medium;Onupdate;REALIZATION OF A CAPTOLOGY STUDY;CTN-2.C02
UX / UI;B;A;B;Value: Design an ethical digital service, in line with your values;Are advertisers well identified as such and have a real economic value in the service?;The target advertisement may be a source of unavoidable income for the digital service, the value provided must be sufficient to justify these promotional inserts, and users should not be able to confuse these advertising banners and the content of the service.;Design;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;High;Onupdate;Beneficial analysis;CTN-2.09
UX / UI;B;A;C;Value: Design an ethical digital service, in line with your values;To what extent is the user's attention counterreed by the service?;The attention of the user is a resource that must be considered rare and precious. In this perspective, the respect of the user also passes by his ability to concentrate his attention on the elements of his choice, rather than those that the service would like to put forward.;Use;;;;;Medium;Onupdate;Captology Study;CTN-2.10
Contents;;;;Apply an editorial approach for content;;;;;;;;;;;CTN-2.C03
Contents;B;C;B;Apply an editorial approach for content;Do the providers retained for the production of content have a NR, CSR, accessibility (training, inclusion, ethics) commitment?;Many elements are externally produced, it would be harmful to break a NR dynamic by choosing providers whose NR is not a motor;Acquisition;;(X / y) * 100;NR or CSR Commitments;Service providers;High;Perioric;Project;CTN-2.11
Contents;C;A;B;Apply an editorial approach for content;Does all sources used to be checked?;The transmitted information can be controversial and will need the time and use of technical resources with an environmental impact, so that users can verify them or use them without being abused;Acquisition;;;;;;;;CTN-3
Contents;C;B;B;Apply an editorial approach for content;Are the facts and opinions clearly identifiable?;When the information communicated are not reliable by users, this may result in additional research to confirm suspicious assertions and navigation. On the other hand, the service credibility can be called into question and disrupt users. Users have the right to have reliable information. Service Editors have the duty to respect their users by transmitting verified information.;Design;;;;;;;;CTN-3.C01
Contents;C;B;B;Apply an editorial approach for content;What are the rights of use of images, videos, illustrations and texts of my site?;The use of external resources and materials is common in digital services. It is important to respect the intellectual property and render the creators the visibility lies their original creations to respect a digital ehic.;Acquisition;;(X / y) * 100;Analysis Resources;Resources;Medium;Onupdate;Project;CTN-3.01
Contents;B;B;C;Apply an editorial approach for content;Do the text formatting tags answer the need for the horrachisation of information, and not the presentation highlights?;Automata and accessing assistants use tags to reperact and structure restitution. The use of tags does not correspond to the structure of the content, for example for text formatting, make the use of these more difficult wizards for a good understanding of the content.;Production;UNAVOIDABLE;(X / y) * 100;Tags Analysis;Tags HX;Medium;Onupdate;The analysis of the source codes makes it possible to check the use of HTML tags;CTN-3.02
Contents;;;;Reduce the footprint of static content;;;;;;;;;;;CTN-3.03
Contents;A;B;B;Reduce the footprint of static content;Did the images have been compressed upstream in an adaptive format for visualization?;Compressed data transmission is essential to reduce the impact of trade, on the other hand the compression algorithms are consumer of technical processing, intermediate storage resources. When the compressions are carried out each exchange request, the compression benefit may disappear or even increase the impact.;Production;UNAVOIDABLE;(X / y) * 100;Comprehensive Images;Images;High;Onupdate;Development tools / consoles and browser extensions can verify good practices (eg Chrome - Greenit Extension / Good Practices);CTN-3.C02
Contents;A;B;B;Reduce the footprint of static content;What are the actual images of useful meaning e comprehension of the service (examples: logo, images links, contractual images ...)?;The weight, and therefore its impact, an image is without common measure with text. Whenever the choice of use of an image is done, it must be justified. An image may be necessary see contractual (image of a product on an online sales service) or serve only a space filling in the content. Reduce the number of images decreases the impact of using the service.;Design;;(X / y) * 100;Images Analysis;Images;High;Onupdate;User courses present the images exhibited in the service and the added value of the information proposed by these objects;CTN-3.C03
Contents;B;B;B;Reduce the footprint of static content;What images can we happen (not useful e comprehension of the service)?;The weight and therefore its impact of an image is without common measure with text. Whenever the choice of use of an image is done, it must be justified. An image may be necessary see contractual (image of a product on an online sales service) or serve only a space filling in the content. Reduce the number of images decreases the impact of using the service.;Design;;(X / y) * 100;Images Analysis;Images;High;Onupdate;Navigation tests;CTN-3.04
Contents;A;B;B;Reduce the footprint of static content;Can text replace certain types of images (icons, picto ...);The weight and therefore its impact of an image is without common measure with text. Whenever the choice of use of an image is done, it must not be able to be replaced by a simple text. Reduce the number of images decreases the impact of using the service.;Design;;(X / y) * 100;Images Analysis;Images;High;Onupdate;User courses present the images exhibited in the service and the added value of the information proposed by these objects;CTN-3.05
Contents;B;A;B;Reduce the footprint of static content;An alternative to images is it systematically available?;Accessing assistants must be able to use a description of the information covered by the image to allow a good understanding of the service without the vision of the image.;Design;;(X / y) * 100;Images Analysis;Images;High;Onupdate;Source / Chrome code: Lighthouse extension - Accessibility;CTN-3.C04
Contents;B;B;C;Reduce the footprint of static content;Is the information superposition suppressed?;The proliferation of superposed information makes the service more difficult to understand and use by less familiar audiences with technologies or those for which technology can not be looked easily.;Production;;;;;;;Navigation / source code;CTN-3.06
Contents;C;C;B;Reduce the footprint of static content;The impact of internationalization (multi-language ...) Is it evaluated?;Multi-language management adds a volume consequently translated messages in different languages. Some languages __impose multi-bytes more consumers of memory consumers.;Production;;(X / y) * 100;"Formalises = 100; planned = 75; Identifies = 50; No = 0";100;Low;Onupdate;Project framing sheet;CTN-3.C05
Contents;B;C;B;Reduce the footprint of static content;Is the number of different policies limit?;Each font is encoded in a file that combines all associated symbols which represents a large volume of data exchange and manipulate.;Production;;;;;High;Onupdate;Source code / chromee;CTN-3.07
Contents;B;C;B;Reduce the footprint of static content;Do you privilege the system fonts?;System fonts are embedded in the presentation tools and are not vehicle. The flows are reduced when used.;Production;;;;;High;Onupdate;Source code / chromee;CTN-3.C06
Contents;B;B;B;Reduce the footprint of static content;Is the formatting of the form minimal (so as not to overload the code for low-useful styles)?;Formatting tags generate an additional volume of data exchanges and manipulated, reduce these elements optimizes treatments and exchanges;Production;;;;;;;;CTN-4
